Date,Close,High,Low,Open,Volume
2020-01-02,72.33387756,72.39408555,71.09118382,71.34405443,135480400
2020-01-03,71.63064575,72.38926493,71.4066738,71.5632131,146322800
2020-01-06,72.20142365,72.23995764,70.50356115,70.75402846,118387200
2020-01-07,71.86183929,72.46632241,71.64268137,72.21104116,108872000
2020-01-08,73.01782227,73.31886213,71.56560624,71.56560624,132079200
2020-01-09,74.56880188,74.76146451,73.74275001,73.99320996,170108400
2020-01-10,74.7374115,75.300965,74.23648404,74.80244086,140644800
2020-01-13,76.33410645,76.36060179,74.93487315,75.05288583,121532000
2020-01-14,75.30332184,76.48099344,75.18050256,76.27147085,161954400
2020-01-15,74.98062897,75.9824909,74.54953766,75.10345563,121923600
2020-01-16,75.91985321,76.03064119,75.16123412,75.52248201,108829200
2020-01-17,76.76038361,76.76278693,75.86207763,76.16793161,137816400
2020-01-21,76.24017334,76.83020722,76.10289736,76.38948798,110843200
2020-01-22,76.51231384,77.06381372,76.41838585,76.72423979,101832400
2020-01-23,76.88079071,76.96026202,76.01860816,76.56530142,104472000
2020-01-24,76.65920258,77.86817608,76.46894331,77.12641706,146537600
2020-01-27,74.40501404,75.08415437,73.4248265,74.6723339,161940000
2020-01-28,76.50990295,76.68089158,75.18532723,75.28406921,162234000
2020-01-29,78.11142731,78.95674973,77.39856685,78.13792264,216229200
2020-01-30,77.99823761,78.05122093,76.76517928,77.1962705,126743200
2020-01-31,74.53988647,77.7116386,74.24607125,77.29018276,199588400
2020-02-03,74.33518219,75.49839714,72.78422402,73.28515118,173788400
2020-02-04,76.78925323,76.97951249,75.53211042,75.93670625,136616400
2020-02-05,77.41542053,78.21257357,76.81334076,77.913937,118826800
2020-02-06,78.32095337,78.32336404,77.12883967,77.68516087,105425600
2020-02-07,77.25637054,78.06989925,76.76632168,77.82125391,117684000
2020-02-10,77.62328339,77.62328339,75.76448107,75.84414098,109348800
2020-02-11,77.15497589,78.19059906,76.9377142,78.11818095,94323200
2020-02-12,78.98722839,78.99205381,77.60398368,77.60398368,113730400
2020-02-13,78.42476654,78.75066279,78.05783581,78.2606139,94747600
2020-02-14,78.44406891,78.69271421,77.93712009,78.39336887,80113600
2020-02-18,77.00772095,77.18877358,75.94795598,76.12900862,152531200
2020-02-19,78.1230011,78.35233738,77.24912159,77.24912159,93984000
2020-02-20,77.32155609,78.37166303,76.81702354,77.8840305,100566000
2020-02-21,75.57137299,77.35776502,74.95579692,76.91599243,129554000
2020-02-24,71.98170471,73.43012593,69.82114748,71.75961758,222195200
2020-02-25,69.54351807,73.03180164,69.07278565,72.65038735,230673600
2020-02-26,70.64671326,71.90925586,69.16208362,69.16932542,198054800
2020-02-27,66.02867126,69.04138908,65.89348592,67.8585136,320605600
2020-02-28,65.99005127,67.20914325,61.88860853,62.10346116,426510000
2020-03-02,72.13378906,72.76868153,67.04258944,68.14338896,341397200
2020-03-03,69.84285736,73.38665872,68.99311239,73.30699881,319475600
2020-03-04,73.08248901,73.2418162,70.76260505,71.56165,219178400
2020-03-05,70.71192169,72.31242083,70.34740002,71.33956494,187572800
2020-03-06,69.7728653,70.2049797,67.88992062,68.07579869,226176800
2020-03-09,64.25437927,67.13190516,63.48912686,63.6701795,286744800
2020-03-10,68.88207245,69.14761777,65.02685834,66.90256821,285290000
2020-03-11,66.48976898,67.88749741,65.62795666,66.96292518,255598800
2020-03-12,59.92358017,65.17893455,59.8680584,61.78480248,418474000
